plant,OptimalSoilDepth,AbsoluteSoilDepth,MinOptimalTemperature,MaxOptiomalTempreture,MinAbsoluteTemperature,MaxAbsoluteTemperature,OptimalSoilTexture,AbsoluteSoilTexture,OptimalRainfallMin,OptimalRainfallMax,AbsoluteRainfallMin,AbsoluteRainfallMax,OptimalSoilFertility,AbsoluteSoilFertility,OptimalLatitudeMin,OptimalLatitudeMax,AbsoluteLatitudeMin,AbsoluteLatitudeMax,OptimalSoilSalinity,AbsoluteSoilSalinity,OptimalSoilPhMin,OptimalSoilPhMax,AbsoluteSoilMin,AbsoluteSoilMax,OptimalSoilDrainage,AbsoluteSoilDrainage,OptimalLightIntensityMin,OptimalLightIntensityMax,AbsoluteLightIntensityMin,AbsuluteLightIntensityMax,ClimateZone,PhotoPeriod,MinCropCycle,MaxCropCycle
Aloe arborescens,medium (50-150 cm),shallow (20-50 cm),18,26,9,38,"medium, light","medium, light",400,1500,300,1700,moderate,low,22,20,30,32,low (<4 dS/m),medium (4-10 dS/m),5,6.5,4.2,7,well (dry spells),well (dry spells),clear skies,very bright,light shade,very bright,"steppe or semiarid (Bs), subtropical humid (Cf)",,0,0
Aloe barbadensis,medium (50-150 cm),medium (50-150 cm),19,27,10,35,medium,"heavy, medium, light",1900,3000,700,4000,moderate,moderate,-,-,-,-,low (<4 dS/m),low (<4 dS/m),6.5,7.5,6,8,well (dry spells),well (dry spells),very bright,very bright,very bright,clear skies,"subtropical humid (Cf), subtropical dry summer (Cs), subtropical dry winter (Cw)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",180,365
Aloe ferox,medium (50-150 cm),shallow (20-50 cm),18,26,10,30,light,"medium, light",500,600,300,800,moderate,low,20,20,40,40,low (<4 dS/m),low (<4 dS/m),6.5,7,6,7.5,well (dry spells),"well (dry spells), excessive (dry/moderately dry)",very bright,clear skies,very bright,cloudy skies,"steppe or semiarid (Bs), subtropical dry summer (Cs)",short day (<12 hours),120,150
Aloe perryi,medium (50-150 cm),medium (50-150 cm),22,27,12,31,light,light,400,700,250,1400,low,low,-,-,-,-,low (<4 dS/m),low (<4 dS/m),6.5,7,6,7.5,"well (dry spells), excessive (dry/moderately dry)","well (dry spells), excessive (dry/moderately dry)",very bright,clear skies,very bright,cloudy skies,"steppe or semiarid (Bs), subtropical dry summer (Cs)",short day (<12 hours),120,180
Alopecurus arundinaceus,medium (50-150 cm),shallow (20-50 cm),9,18,2,15,medium,"heavy, medium, light",500,800,350,1160,high,moderate,-,-,-,-,low (<4 dS/m),low (<4 dS/m),6,6.5,5.5,7.5,well (dry spells),"poorly (saturated >50% of year), well (dry spells)",very bright,cloudy skies,very bright,light shade,"steppe or semiarid (Bs), temperate oceanic (Do), temperate continental (Dc), temperate with humid winters (Df), temperate with dry winters (Dw), boreal (E)",long day (>14 hours),90,180
Alopecurus geniculatus,shallow (20-50 cm),shallow (20-50 cm),10,15,6,22,"heavy, organic","heavy, medium, light, wide, organic",600,1000,500,1140,high,moderate,37,35,53,65,,,4.5,7,4,7.5,poorly (saturated >50% of year),"poorly (saturated >50% of year), well (dry spells)",clear skies,very bright,cloudy skies,very bright,"temperate oceanic (Do), temperate continental (Dc)",,100,120
Alopecurus pratensis,medium (50-150 cm),shallow (20-50 cm),9,22,2,32,medium,"heavy, medium",600,1000,200,1800,high,moderate,28,28,60,60,low (<4 dS/m),low (<4 dS/m),5,7.5,4.5,8.5,"poorly (saturated >50% of year), well (dry spells)","poorly (saturated >50% of year), well (dry spells)",very bright,clear skies,very bright,cloudy skies,"desert or arid (Bw), steppe or semiarid (Bs), temperate oceanic (Do), temperate continental (Dc), temperate with humid winters (Df), temperate with dry winters (Dw), boreal (E)",long day (>14 hours),90,180
Aloysia triphylla,medium (50-150 cm),shallow (20-50 cm),18,28,14,33,medium,"heavy, medium",600,1800,500,2000,high,moderate,20,10,40,48,low (<4 dS/m),low (<4 dS/m),5.5,7,5,7.5,well (dry spells),well (dry spells),clear skies,very bright,light shade,very bright,"tropical wet & dry (Aw), subtropical dry summer (Cs), temperate oceanic (Do)",,365,365
Alphitonia excelsa,medium (50-150 cm),shallow (20-50 cm),18,36,8,43,"heavy, medium, light, wide, organic","heavy, medium, light, wide, organic",560,1250,450,1500,moderate,moderate,15,10,35,38,low (<4 dS/m),low (<4 dS/m),5.5,7,4.5,8,well (dry spells),"poorly (saturated >50% of year), well (dry spells), excessive (dry/moderately dry)",clear skies,very bright,cloudy skies,very bright,"tropical wet & dry (Aw), steppe or semiarid (Bs), subtropical humid (Cf)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",160,300
Alpinia galanga,medium (50-150 cm),shallow (20-50 cm),27,32,20,36,"heavy, medium, light","heavy, medium, light",2500,3000,2000,3700,high,moderate,-,-,20,20,low (<4 dS/m),low (<4 dS/m),5.5,6.5,5,6.8,well (dry spells),well (dry spells),clear skies,light shade,very bright,light shade,"tropical wet & dry (Aw), tropical wet (Ar)",short day (<12 hours),90,365
Alpinia officinarum,medium (50-150 cm),shallow (20-50 cm),19,27,15,36,"heavy, medium, light","heavy, medium, light",1500,3000,1100,4000,high,moderate,20,20,30,30,low (<4 dS/m),low (<4 dS/m),4.5,5.5,4,6,well (dry spells),well (dry spells),clear skies,light shade,very bright,light shade,"tropical wet & dry (Aw), tropical wet (Ar)",short day (<12 hours),90,365
Alstonia scholaris,deep (>>150 cm),shallow (20-50 cm),22,28,12,36,medium,"heavy, medium, light",1200,3000,1100,3800,moderate,low,5,-,15,21.5,low (<4 dS/m),low (<4 dS/m),5.5,6.5,4.5,7.5,well (dry spells),"poorly (saturated >50% of year), well (dry spells)",very bright,very bright,very bright,clear skies,"tropical wet & dry (Aw), tropical wet (Ar)",short day (<12 hours),300,365
Althaea officinalis,,,-,-,-,-,"heavy, medium, organic","wide, organic",-,-,-,-,high,moderate,-,-,-,-,,,-,-,-,-,poorly (saturated >50% of year),"poorly (saturated >50% of year), well (dry spells)",,,,,"temperate oceanic (Do), temperate continental (Dc)",,0,0
Althaea rosea,medium (50-150 cm),shallow (20-50 cm),-,-,-,-,medium,wide,-,-,-,-,high,low,-,-,-,-,,,-,-,-,-,well (dry spells),"poorly (saturated >50% of year), well (dry spells), excessive (dry/moderately dry)",very bright,clear skies,very bright,cloudy skies,subtropical dry summer (Cs),,0,0
Altingia excelsa,deep (>>150 cm),medium (50-150 cm),20,32,10,40,"heavy, medium","heavy, medium",2000,3000,1200,4000,high,,-,-,30,30,low (<4 dS/m),low (<4 dS/m),5,6,4.5,6.5,well (dry spells),well (dry spells),very bright,clear skies,very bright,cloudy skies,tropical wet (Ar),short day (<12 hours),330,365
Alysicarpus monilifer,deep (>>150 cm),medium (50-150 cm),17,28,12,34,"heavy, medium, light, wide","heavy, medium, light, wide",400,1000,200,1500,moderate,low,-,-,20,27,,,6,7.5,5.5,8,"well (dry spells), excessive (dry/moderately dry)","poorly (saturated >50% of year), well (dry spells), excessive (dry/moderately dry)",clear skies,very bright,cloudy skies,very bright,"tropical wet & dry (Aw), desert or arid (Bw), steppe or semiarid (Bs), subtropical humid (Cf)",,60,115
Alysicarpus ovalifolius,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,,,,,,,0,0
Alysicarpus rugosus,shallow (20-50 cm),shallow (20-50 cm),22,30,18,36,"heavy, medium","heavy, medium",900,1400,600,1500,high,moderate,5,-,30,35,,,6,7,5.5,8,well (dry spells),well (dry spells),clear skies,very bright,cloudy skies,very bright,"tropical wet & dry (Aw), subtropical humid (Cf)",short day (<12 hours),0,0
Alysicarpus vaginalis,medium (50-150 cm),shallow (20-50 cm),22,30,15,35,"medium, light","heavy, medium, light",1000,2000,700,4300,moderate,low,-,-,15,15,low (<4 dS/m),low (<4 dS/m),5.5,6.5,4.5,8.5,well (dry spells),"well (dry spells), excessive (dry/moderately dry)",clear skies,clear skies,very bright,cloudy skies,"tropical wet & dry (Aw), tropical wet (Ar)",short day (<12 hours),120,300
Amaranthus caudatus,medium (50-150 cm),shallow (20-50 cm),21,28,7,40,"light, organic","heavy, medium, light",800,2300,250,4200,moderate,low,-,-,40,40,low (<4 dS/m),medium (4-10 dS/m),5.5,7.5,4.3,8.5,well (dry spells),"well (dry spells), excessive (dry/moderately dry)",very bright,very bright,very bright,cloudy skies,"tropical wet & dry (Aw), desert or arid (Bw), steppe or semiarid (Bs), subtropical humid (Cf), subtropical dry summer (Cs), subtropical dry winter (Cw)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",30,300
Amaranthus cruentus,medium (50-150 cm),shallow (20-50 cm),22,28,10,45,"heavy, medium, light, organic","heavy, medium, light",2000,2400,500,4000,high,moderate,-,-,20,40,low (<4 dS/m),medium (4-10 dS/m),5.5,7,4.3,7.5,well (dry spells),well (dry spells),very bright,very bright,very bright,cloudy skies,"tropical wet & dry (Aw), tropical wet (Ar), subtropical humid (Cf), subtropical dry summer (Cs), subtropical dry winter (Cw)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",30,300
Amaranthus dubius,medium (50-150 cm),shallow (20-50 cm),22,30,12,45,"heavy, medium, light, organic","heavy, medium, light",2100,2400,700,4000,high,moderate,-,-,40,40,low (<4 dS/m),medium (4-10 dS/m),6,7.5,5.5,8.5,well (dry spells),well (dry spells),very bright,very bright,very bright,cloudy skies,"tropical wet & dry (Aw), tropical wet (Ar), subtropical humid (Cf), subtropical dry summer (Cs), subtropical dry winter (Cw)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",30,300
Amaranthus hybridus,medium (50-150 cm),shallow (20-50 cm),12,30,8,35,medium,wide,400,600,300,700,moderate,low,-,-,30,35,low (<4 dS/m),low (<4 dS/m),6.5,7.5,6,8.5,well (dry spells),"well (dry spells), excessive (dry/moderately dry)",very bright,very bright,clear skies,very bright,"tropical wet & dry (Aw), steppe or semiarid (Bs)",long day (>14 hours),30,60
Amaranthus hypochondriacus,medium (50-150 cm),shallow (20-50 cm),19,23,10,32,"heavy, medium, light, organic","heavy, medium, light",1000,1600,500,2500,high,moderate,10,10,30,30,low (<4 dS/m),medium (4-10 dS/m),6,7,5.5,7.5,well (dry spells),well (dry spells),clear skies,clear skies,very bright,cloudy skies,"tropical wet & dry (Aw), tropical wet (Ar), subtropical humid (Cf), subtropical dry summer (Cs), subtropical dry winter (Cw)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",30,300
Amaranthus lividus,medium (50-150 cm),shallow (20-50 cm),21,27,18,32,"heavy, medium, light, organic","heavy, medium, light",1200,1500,200,2700,high,moderate,-,-,30,30,low (<4 dS/m),medium (4-10 dS/m),5.5,7,4.3,7.5,well (dry spells),"well (dry spells), excessive (dry/moderately dry)",very bright,very bright,very bright,cloudy skies,"tropical wet & dry (Aw), desert or arid (Bw), steppe or semiarid (Bs), subtropical humid (Cf), subtropical dry winter (Cw)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",30,300
Amaranthus sp.,medium (50-150 cm),shallow (20-50 cm),19,30,7,45,"heavy, medium, light, organic","heavy, medium, light",1100,1400,200,4200,high,moderate,-,-,30,30,low (<4 dS/m),medium (4-10 dS/m),5.5,7.5,4.3,8.5,well (dry spells),"well (dry spells), excessive (dry/moderately dry)",very bright,very bright,very bright,cloudy skies,"tropical wet & dry (Aw), desert or arid (Bw), steppe or semiarid (Bs), subtropical humid (Cf)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",30,300
Amaranthus tricolor,medium (50-150 cm),shallow (20-50 cm),22,30,8,45,"heavy, medium, light, organic","heavy, medium, light",1200,1500,300,2700,high,moderate,-,-,20,20,low (<4 dS/m),medium (4-10 dS/m),5.5,7.5,4.3,8,well (dry spells),"well (dry spells), excessive (dry/moderately dry)",very bright,very bright,very bright,cloudy skies,"tropical wet & dry (Aw), tropical wet (Ar), steppe or semiarid (Bs), subtropical humid (Cf), subtropical dry summer (Cs), subtropical dry winter (Cw)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",30,300
Ambelania acida,medium (50-150 cm),shallow (20-50 cm),22,30,20,32,"medium, organic","medium, organic",1500,2500,1000,3000,moderate,low,-,-,7,7,low (<4 dS/m),low (<4 dS/m),5,7,4.5,7.5,well (dry spells),well (dry spells),light shade,cloudy skies,heavy shade,cloudy skies,"tropical wet & dry (Aw), tropical wet (Ar)",,0,0
Amelanchier pallida,medium (50-150 cm),shallow (20-50 cm),14,25,10,30,light,"medium, light",800,1200,650,1800,moderate,low,32,30,48,50,low (<4 dS/m),low (<4 dS/m),5.5,6.5,5,7,"well (dry spells), excessive (dry/moderately dry)","well (dry spells), excessive (dry/moderately dry)",cloudy skies,clear skies,light shade,very bright,"subtropical dry summer (Cs), temperate oceanic (Do)",,0,0
Ammandra natalia,medium (50-150 cm),shallow (20-50 cm),21,26,17,30,"heavy, medium","heavy, medium",2500,4500,1600,6300,moderate,low,-,-,10,10,low (<4 dS/m),low (<4 dS/m),5.5,6.5,4.5,7,well (dry spells),"poorly (saturated >50% of year), well (dry spells)",very bright,clear skies,very bright,light shade,"tropical wet & dry (Aw), tropical wet (Ar)",short day (<12 hours),365,365
Ammophila arenaria,medium (50-150 cm),shallow (20-50 cm),9,20,2,25,light,light,700,900,500,1200,moderate,low,35,35,60,60,low (<4 dS/m),medium (4-10 dS/m),5,6,4.5,6.5,excessive (dry/moderately dry),"well (dry spells), excessive (dry/moderately dry)",very bright,clear skies,very bright,cloudy skies,"subtropical dry summer (Cs), temperate oceanic (Do)",long day (>14 hours),90,180
Ammophila breviligulata,medium (50-150 cm),shallow (20-50 cm),9,18,2,25,light,light,800,1000,600,1200,moderate,low,40,40,60,60,low (<4 dS/m),medium (4-10 dS/m),5,6,4.5,6.5,excessive (dry/moderately dry),"well (dry spells), excessive (dry/moderately dry)",very bright,clear skies,very bright,cloudy skies,"temperate oceanic (Do), temperate continental (Dc), temperate with humid winters (Df), temperate with dry winters (Dw), boreal (E)",long day (>14 hours),120,150
Amorphophallus paeoniifolius,deep (>>150 cm),medium (50-150 cm),28,35,25,40,"medium, organic","medium, organic",1000,1500,900,1800,moderate,low,-,-,20,20,low (<4 dS/m),low (<4 dS/m),5.5,6.2,5,7.5,well (dry spells),"well (dry spells), excessive (dry/moderately dry)",clear skies,clear skies,cloudy skies,very bright,"tropical wet & dry (Aw), tropical wet (Ar)",short day (<12 hours),220,350
Anabasis syriaca,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,,,,,,,0,0
Anacardium occidentale,deep (>>150 cm),medium (50-150 cm),15,35,5,46,"medium, light","heavy, medium, light",750,1600,400,4000,moderate,low,-,-,25,30,low (<4 dS/m),low (<4 dS/m),4.5,6.5,3.8,8.7,well (dry spells),"well (dry spells), excessive (dry/moderately dry)",very bright,very bright,very bright,clear skies,"tropical wet & dry (Aw), steppe or semiarid (Bs), subtropical dry summer (Cs), subtropical dry winter (Cw)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",190,260
Anagallis arvensis,,,-,-,-,-,light,"medium, light",-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,,,,,"temperate oceanic (Do), temperate continental (Dc)",,0,0
Ananas comosus,medium (50-150 cm),shallow (20-50 cm),21,30,10,36,"medium, light","heavy, medium, light",800,2500,550,3500,moderate,moderate,-,-,25,33,low (<4 dS/m),medium (4-10 dS/m),4.5,8,3.5,9,well (dry spells),"well (dry spells), excessive (dry/moderately dry)",clear skies,cloudy skies,very bright,light shade,"tropical wet & dry (Aw), tropical wet (Ar), subtropical humid (Cf)",short day (<12 hours),330,365
Anchusa azurea,,,-,-,-,-,light,"medium, light",-,-,-,-,,,-,-,-,-,,,-,-,-,-,well (dry spells),"well (dry spells), excessive (dry/moderately dry)",,,,,"temperate oceanic (Do), temperate continental (Dc)",,0,0
Andrographis paniculata,,,20,30,14,38,"medium, light","medium, light",2000,3000,1500,4000,,,-,-,15,25,,,-,-,-,-,,,light shade,cloudy skies,heavy shade,clear skies,,,0,0
Andropogon abyssinicus,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,,,,,,,0,0
Andropogon africanus,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,,,,,,,0,0
Andropogon amethystinus,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,,,,,,,0,0
Andropogon chrysostachyus,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,,,,,,,0,0
Andropogon gayanus,medium (50-150 cm),shallow (20-50 cm),22,28,16,32,medium,"heavy, medium, light",750,1400,400,3000,moderate,low,-,-,15,25,low (<4 dS/m),low (<4 dS/m),4.5,6.5,4,7.5,well (dry spells),"poorly (saturated >50% of year), well (dry spells), excessive (dry/moderately dry)",very bright,clear skies,very bright,cloudy skies,"tropical wet & dry (Aw), tropical wet (Ar), steppe or semiarid (Bs), subtropical dry summer (Cs)",short day (<12 hours),150,270
Andropogon gerardii var. gerardii,medium (50-150 cm),shallow (20-50 cm),10,20,3,28,medium,medium,700,1200,350,2800,moderate,moderate,35,35,60,60,low (<4 dS/m),low (<4 dS/m),5.5,6.5,4.5,7.6,well (dry spells),well (dry spells),very bright,very bright,very bright,clear skies,"steppe or semiarid (Bs), temperate oceanic (Do), temperate continental (Dc), temperate with humid winters (Df), temperate with dry winters (Dw), boreal (E)",long day (>14 hours),120,300
Andropogon greenwayi,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,,,,,,,0,0
Andropogon hallii,medium (50-150 cm),shallow (20-50 cm),10,20,4,30,light,light,700,900,500,1100,moderate,low,30,30,55,55,low (<4 dS/m),low (<4 dS/m),6,7,5,7.5,"well (dry spells), excessive (dry/moderately dry)","well (dry spells), excessive (dry/moderately dry)",very bright,very bright,very bright,clear skies,"temperate oceanic (Do), temperate continental (Dc), temperate with humid winters (Df), temperate with dry winters (Dw), boreal (E)",long day (>14 hours),180,330
Andropogon heterantherus,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,,,,,,,0,0
Andropogon laxatus,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,,,,,,,0,0
Anemone hepatica,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,6.5,8,6,8.5,,,light shade,cloudy skies,heavy shade,cloudy skies,temperate continental (Dc),,0,0
Anemone nemorosa,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,light shade,cloudy skies,heavy shade,cloudy skies,temperate oceanic (Do),,0,0
Anethum graveolens,shallow (20-50 cm),shallow (20-50 cm),15,18,6,26,medium,"heavy, medium, light",800,1200,500,1700,high,moderate,20,-,40,60,low (<4 dS/m),low (<4 dS/m),6,7,5,8,well (dry spells),well (dry spells),clear skies,clear skies,clear skies,light shade,"tropical wet & dry (Aw), steppe or semiarid (Bs), subtropical dry summer (Cs), temperate oceanic (Do), temperate continental (Dc), temperate with humid winters (Df), temperate with dry winters (Dw), boreal (E)",long day (>14 hours),100,180
Angelica archangelica,medium (50-150 cm),shallow (20-50 cm),5,19,2,22,"medium, organic","heavy, medium, light",700,1100,500,1300,high,moderate,60,50,70,75,low (<4 dS/m),low (<4 dS/m),5.5,6.5,4.5,7.3,well (dry spells),"poorly (saturated >50% of year), well (dry spells)",very bright,clear skies,very bright,cloudy skies,"steppe or semiarid (Bs), temperate oceanic (Do), temperate continental (Dc), temperate with humid winters (Df), temperate with dry winters (Dw), boreal (E)",long day (>14 hours),120,180
Angelica atropurpurea,medium (50-150 cm),medium (50-150 cm),10,18,6,26,"heavy, medium, light, wide, organic","heavy, medium, light, wide, organic",700,1300,500,1500,high,moderate,40,37,48,50,low (<4 dS/m),low (<4 dS/m),5,7.5,5.5,8,"poorly (saturated >50% of year), well (dry spells)","poorly (saturated >50% of year), well (dry spells)",clear skies,very bright,light shade,very bright,"temperate oceanic (Do), temperate continental (Dc), boreal (E)",,0,0
